Filename,Inference Time (ms),Temperature (°C),Used RAM (MB),CPU Usage (%)
frame0203.jpg,224,77.9,845.672,50
frame0613.jpg,216,77.9,846.422,0
frame0060.jpg,215,77.9,846.609,50
frame0567.jpg,216,77.9,845.266,33.3
frame0130.jpg,217,77.9,845.766,0
frame0564.jpg,216,78.5,846.203,0
frame0127.jpg,217,79.6,845.719,0
frame0132.jpg,216,78.5,845.375,50
frame0341.jpg,216,76.8,846.969,0
frame0348.jpg,218,77.9,847.391,0
frame0592.jpg,217,78.5,846.641,50
frame0134.jpg,217,78.5,846.828,0
frame0609.jpg,214,77.9,845.766,33.3
frame0010.jpg,217,77.9,846.281,50
frame0377.jpg,217,78.5,846.469,0
frame0023.jpg,216,79,846.656,33.3
frame0419.jpg,217,77.9,847.328,0
frame0009.jpg,220,78.5,846.797,50
frame0207.jpg,218,79.6,846.281,50
frame0277.jpg,216,78.5,845.531,33.3
frame0074.jpg,218,78.5,846.203,0
frame0139.jpg,215,79,846.609,0
frame0077.jpg,214,78.5,845.75,0
frame0563.jpg,216,79.6,846.531,50
frame0100.jpg,220,78.5,845.766,33.3
frame0234.jpg,215,78.5,847.125,0
frame0260.jpg,221,79,845.906,0
frame0026.jpg,215,79.6,846.328,0
frame0245.jpg,218,79,846.297,33.3
frame0007.jpg,217,78.5,846.031,50
frame0199.jpg,216,78.5,846.438,0
frame0449.jpg,215,78.5,844.969,0
frame0502.jpg,218,79.6,845.625,33.3
frame0247.jpg,216,78.5,846.047,50
frame0548.jpg,216,79,846.172,0
frame0304.jpg,218,78.5,846.156,33.3
frame0552.jpg,216,78.5,847.031,0
frame0340.jpg,216,79,847.219,0
frame0516.jpg,217,78.5,846.25,33.3
frame0534.jpg,215,79,845.703,50
frame0481.jpg,216,79.6,844.297,0
frame0446.jpg,217,79.6,845.859,50
frame0364.jpg,216,79,846.5,0
frame0588.jpg,217,78.5,846.453,0
frame0070.jpg,215,79,846.188,0
frame0443.jpg,226,79.6,846.125,0
frame0222.jpg,216,79,846.062,0
frame0549.jpg,216,79,846.031,50
frame0140.jpg,215,78.5,844.828,0
frame0337.jpg,215,78.5,846.188,0
frame0521.jpg,217,78.5,845.141,0
frame0205.jpg,215,79.6,846.109,33.3
frame0256.jpg,217,79,845.828,50
frame0512.jpg,218,79.6,846.25,33.3
frame0440.jpg,218,79,846.188,0
frame0191.jpg,220,79,847.312,33.3
frame0532.jpg,216,77.9,846,0
frame0012.jpg,215,78.5,845.344,0
frame0217.jpg,217,79.6,845.312,50
frame0491.jpg,218,79,844.953,50
frame0346.jpg,214,79.6,845.188,0
frame0627.jpg,216,78.5,845.078,50
frame0362.jpg,215,79,844.344,0
frame0307.jpg,218,78.5,843.766,0
frame0524.jpg,216,78.5,844.5,50
frame0017.jpg,215,79,845.984,0
frame0546.jpg,214,79.6,845.938,0
frame0601.jpg,214,79,844.766,33.3
frame0133.jpg,216,79,846.344,33.3
frame0327.jpg,216,80.7,847.234,33.3
frame0111.jpg,215,79,846.25,0
frame0388.jpg,213,79,846.219,33.3
frame0187.jpg,213,77.9,846.172,33.3
frame0243.jpg,218,79,846.484,33.3
frame0380.jpg,217,79,845.531,0
frame0351.jpg,217,79,846.047,0
frame0297.jpg,217,79,847.406,0
frame0408.jpg,216,79.6,847.109,33.3
frame0610.jpg,218,78.5,846.141,0
frame0128.jpg,215,79,845.078,0
frame0477.jpg,216,79,845.797,33.3
frame0104.jpg,216,79.6,845.969,33.3
frame0483.jpg,216,80.7,846.844,33.3
frame0594.jpg,217,79,846.094,50
frame0605.jpg,217,79,845.812,0
frame0066.jpg,249,79.6,847.391,50
frame0354.jpg,217,80.1,847.344,33.3
frame0108.jpg,216,79,847.297,0
frame0616.jpg,216,78.5,847.906,0
frame0390.jpg,216,79.6,844.109,50
frame0406.jpg,222,79.6,845.938,33.3
frame0361.jpg,214,79.6,845.172,0
frame0375.jpg,215,78.5,844.656,50
frame0063.jpg,217,80.7,845.547,33.3
frame0103.jpg,218,79.6,845.984,33.3
frame0240.jpg,218,80.7,845.906,0
frame0319.jpg,216,81.2,845.641,0
frame0285.jpg,216,79,845.578,33.3
frame0561.jpg,218,79.6,846.016,0
frame0599.jpg,215,78.5,846.203,0
frame0436.jpg,217,79.6,846.281,0
frame0116.jpg,216,80.7,846.594,50
frame0286.jpg,216,80.7,846.062,0
frame0424.jpg,215,79,847.406,33.3
frame0398.jpg,218,80.1,847.562,33.3
frame0050.jpg,217,79.6,847.031,33.3
frame0204.jpg,215,77.9,846.75,0
frame0093.jpg,216,80.1,845.531,0
frame0092.jpg,219,79.6,845.234,0
frame0054.jpg,215,79.6,845.406,50
frame0047.jpg,216,81.2,844.672,0
frame0276.jpg,217,79.6,846.969,0
frame0218.jpg,217,79.6,846.453,0
frame0072.jpg,216,79.6,846.406,0
frame0509.jpg,216,80.1,847.047,0
frame0330.jpg,217,79.6,848.359,50
frame0284.jpg,217,81.8,845.719,0
frame0082.jpg,214,79.6,847.781,0
frame0399.jpg,216,80.1,845.859,50
frame0194.jpg,216,80.1,846.75,0
frame0526.jpg,216,79.6,846.125,0
frame0075.jpg,217,80.1,847.125,33.3
frame0125.jpg,217,79,845.906,0
frame0342.jpg,216,81.8,846.562,50
frame0030.jpg,218,80.1,846.984,50
frame0612.jpg,216,79.6,847.406,0
frame0115.jpg,217,79,846.359,0
frame0114.jpg,216,79.6,846.859,50
frame0550.jpg,215,80.1,846.578,0
frame0345.jpg,218,79.6,847.25,33.3
frame0269.jpg,216,81.2,846.406,50
frame0358.jpg,216,80.1,846.688,0
frame0573.jpg,216,80.7,846.406,0
frame0439.jpg,217,80.1,846.859,0
frame0381.jpg,215,80.1,847.734,0
frame0213.jpg,222,80.7,846.438,0
frame0192.jpg,217,81.8,846.703,50
frame0296.jpg,216,80.7,845.5,0
frame0611.jpg,215,80.1,845.438,0
frame0149.jpg,225,80.7,844.688,33.3
frame0624.jpg,226,80.1,846.734,0
frame0290.jpg,224,80.1,846.234,50
frame0411.jpg,225,80.1,847.266,50
frame0570.jpg,224,80.7,846.859,0
frame0545.jpg,223,81.2,847.641,33.3
frame0189.jpg,225,80.1,846.672,33.3
frame0596.jpg,226,80.7,846.312,50
frame0420.jpg,228,79.6,846.344,50
frame0239.jpg,226,80.1,846.047,50
frame0053.jpg,226,80.1,846.016,0
frame0471.jpg,225,80.1,846.203,0
frame0606.jpg,224,80.1,846.375,50
frame0431.jpg,227,80.7,847.391,0
frame0445.jpg,225,80.1,847.688,50
frame0129.jpg,225,80.1,848.109,0
frame0396.jpg,225,80.1,846.406,50
frame0180.jpg,224,80.7,846.594,33.3
frame0195.jpg,237,80.7,846.328,50
frame0488.jpg,225,80.1,845.812,33.3
frame0259.jpg,224,79,846.688,33.3
